category,country,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Energy systems,AFG,MtCO2eq,GHG emissions from energy systems,1.8382706706,1.7618807534,1.2279894299999998,1.1209483799999997,1.0737822205,1.0736401735999999,0.9766115332,0.9823634543,1.0503639176,1.02774725847,0.8374494026899999,0.8946877262999999,0.6117471472,0.6964212551,0.6352887301,0.8232468427999999,0.9277524346999999,1.1786139594,1.8785569897999999,2.5461751935,3.252059106,3.9289796166999995,3.2949961805999997,3.204014206,3.2691375750000002,3.7811987807,3.557626243,4.7704118264,4.8479639745,7.333291679999999,6.4952979397999995
Energy systems,AGO,MtCO2eq,GHG emissions from energy systems,22.022605276699995,21.6040962157,20.3257193073,23.791246110699994,34.931477297899995,42.44817494319999,52.524838100699995,55.130549629,60.0074258435,60.0952105886,55.1331876632,52.173885167799995,50.645389790799996,49.298173385499986,49.978209328599995,49.8809590729,44.5967416382,42.046593197,43.9872371075,43.38476322649999,49.68474324449999,46.75737041599999,46.619372164,48.1807497525,49.584473341499994,53.556723800499995,53.124805149,50.356183690499996,48.574061715999996,48.5868645208,10.171472270999999
Energy systems,ALB,MtCO2eq,GHG emissions from energy systems,3.8717282241499995,2.8865657933799995,1.2510021460299998,1.3217424139099998,1.25394450643,0.75300180313,0.708475397,0.59365448358,0.61750173961,0.7753552790599999,0.8706860745599999,0.8360916267799999,0.8696130255099999,0.859321049535,0.77541680056,0.6684740277269999,0.6403353867549999,0.811781018162,0.6883354607000001,0.3917601697725,0.4325097713206,0.37776692057,0.38008245169999993,0.32009508205,0.4363595945,0.4335483153,0.4799767748,0.5841332949999999,0.6101455675999999,0.5898003980000001,0.266710599384
Energy systems,ARE,MtCO2eq,GHG emissions from energy systems,42.3090232414,44.1912495801,46.5326193771,52.5512580926,53.7999681906,56.6881347687,59.9493632057,59.4531191535,59.82395904199999,62.12685007299999,66.76937872399999,70.22847576449999,71.98234167049999,78.0161991485,85.45538067749999,90.3210827755,95.3898058185,95.023897269,105.867836965,95.7481386655,98.92756298900001,102.1881210105,109.9875333845,111.62231297,116.20581167949999,121.644117717,135.857374286,138.58536629,138.06514991299997,138.542910944,89.002234576
Energy systems,ARG,MtCO2eq,GHG emissions from energy systems,52.31561001829999,56.4894263657,56.72049948269999,53.664143315800004,53.3255528444,59.3435624971,61.84684132809999,62.3961460657,63.9149874349,71.49169028659999,72.1573709349,66.4545533941,63.88787014,69.0306252231,76.37681299879999,76.8996623109,79.64841067409999,84.49003327209999,89.5859236269,89.4706866797,90.5471047717,94.62412192679999,100.0963178778,95.3691815431,97.9487904845,101.37334640120001,102.6996523911,98.250045347,98.80747283539999,95.33645634878599,63.5825515863
Energy systems,ARM,MtCO2eq,GHG emissions from energy systems,7.6222950112,11.0524828794,6.4409818509,1.4879004075,1.4706552150199999,1.94334415058,2.1393679942999997,2.4537258413,2.4519620274999996,2.1217935129999996,2.4022663996999998,2.2823736039999996,1.6088957148599998,1.6702582396299999,1.5721118375,1.87724336115,1.79888511983,2.00010094498,1.9935181775799997,1.53602762718,1.7949365799299999,2.170293188,2.7525622061,2.60377776133,2.09722863838,2.12615554403,1.90793887068,2.0019333863699997,2.12000467359,2.0340972884,1.589985575
Energy systems,ATG,MtCO2eq,GHG emissions from energy systems,0.3031478432,0.3198345896,0.3237123106,0.2595046295,0.2719275426,0.3141659289,0.3166215759,0.3025563989,0.22086948653,0.20138377902,0.20170858113,0.20534180741,0.21542118774,0.24755804544999999,0.25616555514,0.24860582181,0.24923327325999997,0.25812512635,0.26394113609,0.30515564743999996,0.32961189986999995,0.35066344497999996,0.35779561129,0.36509898099,0.36887398338000005,0.37480594198,0.36546611694,0.22170223789,0.21529794266,0.21029455802999997,0.175390319
Energy systems,AUS,MtCO2eq,GHG emissions from energy systems,180.819453298,185.629497531,188.550729887,189.855709511,189.858082255,197.755359681,207.53201236200002,213.354355416,235.717786119,239.544033641,243.58859833300002,254.88521350899998,267.809356869,256.90304607099995,266.85489559999996,273.976196286,278.598848614,288.05076718199996,287.463279941,299.642786639,291.81782933200003,283.17666445,285.07925153,266.675254943,258.722728297,272.532203704,276.178484889,275.30023177899994,270.48844304899995,275.09185822,206.727652343
Energy systems,AUT,MtCO2eq,GHG emissions from energy systems,19.8525958764,20.853400254,17.591171402199997,17.544680198800002,18.529661255099995,20.017688761,20.9115645431,21.121035213,19.9552211388,19.208283691299997,18.2896617062,20.2455542109,20.2025095969,22.4471558558,23.268271760399998,24.265743432279997,23.49186301217,22.2469713647,21.6975898492,19.4805923845,22.897985379199998,22.688263870300002,20.441960921799996,19.5262058294,17.7440706981,18.6061592216,17.4500549612,19.199019422099997,17.983194830899997,18.382417792,13.62591800227
Energy systems,AZE,MtCO2eq,GHG emissions from energy systems,33.800811771000006,33.734924305,34.634269446,32.3512196385,25.986652877999997,24.247563636099997,22.738136189899997,21.999438045799998,23.289696782,23.3695914185,24.365729122999998,22.508963826,19.8175666655,22.2454914285,21.4001139025,23.192707525499998,24.281293473999998,26.0867982527,28.580411955099997,24.075016187299997,22.3932280475,24.014099567699997,27.831820443999998,28.02386078,28.700289741,28.515544808999998,28.274564262000002,27.663008433999998,27.991858675999996,30.863516878,16.125277274
