country,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFG,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,1.0796850392541726,1.0134135016847863,0.8722712607439016,0.8063359979852813,0.752165547065636,0.7378438908075253,0.773302159180572,0.8067744935299795,0.8355750372389584,0.8692012635893873,0.7483116641735302,0.6529049553991596,0.7243653687904671,0.7254513943161127,0.6994779401997573,0.6860299750295019,0.6764263650982038,0.7034505783976572,0.8033101840530366,0.8728222006471886,0.9816853890870713,1.1279926934632594,1.0117628491140538,0.9185976512855509,0.8836819424630883,0.8496057296980208,0.7854473332288577,0.8329937591586603,0.8143899576434062,0.8911863931985239,0.30691941438757947
AGO,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,2.840271582296018,2.7479990093676157,2.5802308195901182,2.790003177610874,3.5242392878930766,3.9396491486151692,4.569359310817749,4.628426500914362,4.805744971881559,4.71282183348916,4.272116961370748,3.99254749934842,3.8080803616281087,3.6930495736440245,3.8684291354344444,3.6889522441493607,3.231737405269156,3.0766165593919457,3.1625101457389864,3.0954564310727304,3.3173402357279405,3.1465910976546465,3.0588113862025637,3.129408844852121,3.103283534712433,3.1692136568469516,3.0515195521748093,2.7646499618590465,2.631092041270847,2.54397834509206,0.6850063195796979
ALB,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,3.4688211521902472,2.747464634672568,1.8795814643978714,1.9009461334275506,2.124160496377905,2.0227541751304354,1.9549297358341913,1.7314925313242369,1.8267908257427612,2.234019717352284,2.3142467432233516,2.396453275486386,2.6070066215915384,2.6786585102440568,2.763777330099814,2.65103919056931,2.6750095881635274,2.6780012137846345,2.627632575092101,2.6424943058432753,2.760267661112982,2.90301738360351,2.8044805430290505,2.8974989097679793,3.070704378007161,3.026997013215177,2.9577526010216606,3.1721097326982792,3.1832918002428854,3.259539583087116,1.798229112748423
ARE,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,46.38353982653581,48.630135977938146,45.376263491762444,46.066329463045705,46.315685433295656,46.68878860648666,46.716746833331435,45.39561054182964,43.526354904056895,42.30003787934777,40.7441400304103,43.019902534036646,41.37866594638353,41.0524132169544,39.241799820492645,37.091144186376596,33.45006376320072,30.460185794335494,30.40637655674303,27.35068167414731,26.311543741041756,25.955649973585594,26.661858619535327,27.732981835173103,28.06332574341361,29.546742715929202,30.273125952516306,30.583360243546313,29.78695129836382,29.319343663711297,20.538748635040037
ARG,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,8.331655164311654,8.316213520277064,8.309890952459519,8.125435912317958,8.3572218727515,8.423947530230128,8.483426303583096,8.617124808019298,8.620956981282797,8.816649524948682,8.722117823352662,8.47092059862735,8.372273808411675,8.980307978793036,9.433902752337694,9.465766647712062,9.780744418147309,9.862745449305232,9.967446839160495,9.33242004831387,9.275414953344761,9.316382177502556,9.411087831890772,9.343612224225636,9.464002038849763,9.51363392063325,9.503223422408361,9.30885488602051,9.140465092869228,8.824200943258298,3.889866714276203
ARM,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,6.864208851936847,7.096882435862903,4.0595542031058836,2.2935243517246384,1.6468397378486348,1.8871840028209559,1.6288789183359833,1.8878006321043088,1.9098302889586003,1.8115691263141709,1.9811820213607845,2.029182759703883,1.901948962891928,2.0703991092378304,2.23819038034935,2.5178308014173187,2.5471411485890036,2.8020582158609293,3.0073458699542415,2.585238631661573,2.5157425539520535,2.742889095758926,3.050275022486347,2.9931638044138706,2.9933646384260695,2.835803734244293,2.8831676882349555,2.964449017867494,3.011406693313879,2.8947292994988043,1.9636615305777403
ATG,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,7.870381001263556,8.131765248762006,8.137885387858095,7.404368773961323,7.640797140444131,7.807457318794997,7.705590006164573,7.41601425695826,7.102431149969516,7.131882427514061,6.751866189241833,6.637118589751256,6.596467327418439,7.196497294551602,7.424351935455461,7.195683381097898,7.0278481463958045,7.055008433290946,7.035413838141508,7.789656705528352,7.436530557619253,7.946111952406633,8.542569606973354,8.979997808412447,8.804126699609373,8.669180921834927,8.45633888888429,6.735243672173329,6.503991838992719,6.319717797576255,4.669264852136263
AUS,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,26.72791677706547,26.535440549242075,26.310186078582454,26.206244717710987,26.19398238640157,26.345998942630295,26.840441829877637,27.20083867380091,28.166781064212763,28.189915356080416,28.393129366850626,28.492804984734974,28.622649408412123,27.808727390101737,28.507831584567302,28.45827277389383,28.224679856285906,28.461481448529355,27.826430812020213,27.71154306967734,27.083887231659766,26.91026726886954,26.471768806263366,25.604770738195032,24.831731403429917,24.812938894729776,24.36778366479934,24.20123820310781,23.679948597702936,23.631370307034146,15.040483849679374
AUT,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,10.728124879485794,11.150114753318904,10.310285444503805,10.241275803093819,10.262447017168848,10.631925523908448,11.117549690860065,11.028834429599446,11.038986120168152,10.75680584152369,10.778825688559515,11.358796514577373,11.51366824242074,12.161780553363617,12.055064590837748,12.05102228529893,11.690072737104947,11.26993574468021,11.144310467560159,10.274715190098716,11.015746511161007,10.786998818668762,10.367233092948734,10.416088539455362,9.940420721967351,9.936477766017306,9.857972156660868,10.097536304563103,9.768286027542946,9.920056144190486,7.14277364847888
AZE,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,9.760459321727616,9.307989590051298,7.7318868214967384,6.761796478829321,6.015404436498146,5.787415161223707,5.0438811869779725,4.928231458756739,4.927316390471376,4.9896068356531265,5.179568145768207,5.031887785769061,4.969194061822454,5.30531436178696,5.262932434964185,5.5848799734873715,5.705985237377351,5.861512610950555,6.40112782734555,5.554779939509858,5.4050641544334805,5.635674125413901,5.940235188292886,6.016485049861412,6.149912612769123,6.053815985449162,6.003606432427679,5.884664196838998,5.886503793206101,6.205091982233541,3.3581956133291184
