country,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFG,tCO2eq per capita,Oil and gas fugitive GHG emissions from energy systems per capita,0.014811375609264061,0.01382146621975641,0.01095620211820848,0.009731207982043676,0.009403625537956567,0.00779125588562141,0.007742853926317122,0.00743786876729531,0.0075281484635802325,0.007408026192454883,0.007375138596292571,0.005901752603971899,0.004320742851550128,0.003943166993308649,0.003971088858682211,0.004446810663985268,0.0038071369532802447,0.004188395866769011,0.0041149580368224385,0.003847541818035313,0.005093590514827716,0.005621440866879294,0.005199680258042503,0.004640352595719215,0.004707408368105246,0.0049951635404174325,0.006737945717930076,0.005113437084209931,0.0051197631104466425,0.005208951042928958,0.0
AGO,tCO2eq per capita,Oil and gas fugitive GHG emissions from energy systems per capita,1.6560197697829706,1.5676940870042138,1.417856999575188,1.6387977524205655,2.40456285078674,2.864361173607702,3.4661926228421045,3.512210175225591,3.7161815509518474,3.5825390002855633,3.154948065249946,2.8676382058678653,2.681627561486346,2.506156935221119,2.4750259828560806,2.3774134694727747,2.022956542971294,1.8193453884554012,1.8204937306285929,1.6854330068367736,1.8855161041069655,1.7018326494818885,1.614325059916341,1.560813269681723,1.4943162519408058,1.568892000826269,1.4912113645420668,1.359681468840571,1.252528285898244,1.2250025754667695,0.1443604996770549
ALB,tCO2eq per capita,Oil and gas fugitive GHG emissions from energy systems per capita,0.2652289152245734,0.3427745526954594,0.14375323896633208,0.1483052639879874,0.12908444354170925,0.06704013734933106,0.06600318500470165,0.06286564315574117,0.0631785044733469,0.06262456434650529,0.06225999591457116,0.06173180578352923,0.06444047774343577,0.066029284784657,0.07039873981603197,0.07033994153054621,0.07270752245495225,0.07558215397420283,0.07512633160226564,0.0758403748020081,0.08024630172594018,0.06595302346314101,0.07067170977392435,0.07854287877552768,0.09188940823867886,0.09707793750344966,0.10000413080069162,0.0841229433396776,0.07843994158477464,0.06936800848296418,0.0019354163607718379
ARE,tCO2eq per capita,Oil and gas fugitive GHG emissions from energy systems per capita,14.96604868529788,14.918910848309302,14.69861276677,15.579381672100444,14.53572338373336,14.466967706085756,14.646723885943208,13.177486962638145,11.831951799614247,11.10358647201359,11.0534015290675,10.547094124179994,9.446093664166835,9.381892968915642,8.388514303649654,7.747043645664921,6.976003824026843,5.910735735662715,5.069525316786011,4.379497009612284,4.238394095530783,4.321693692410832,4.391449369136556,4.526253600275193,4.465717847769883,4.811841053812976,4.847553396948501,4.758259521296365,4.827035125033148,4.772598815048443,0.2289072753377012
ARG,tCO2eq per capita,Oil and gas fugitive GHG emissions from energy systems per capita,0.506080759079898,0.5045205323909107,0.5193864015136602,0.5298395303658632,0.5554178040663066,0.6694501189382112,0.6282309508926535,0.6475505416289302,0.6246872732728768,0.686268027629637,0.6873843295924504,0.6910669248263022,0.6820873559378609,0.708446996741692,0.7155466571339424,0.6950007029556328,0.6880823215120353,0.6636052169040237,0.6573060246592335,0.6436875863731315,0.6194690578237915,0.6094276815985075,0.6118489808766726,0.586737549177563,0.5844665126143966,0.5847387819048174,0.5972956578389061,0.584824030235934,0.5893930542249917,0.6197199427967583,0.048788517418045
ARM,tCO2eq per capita,Oil and gas fugitive GHG emissions from energy systems per capita,0.08849175843742686,0.08861497896440453,0.08953582371428073,0.09087759975808113,0.10498441740689668,0.09930520757928345,0.11306038419765338,0.12058944958652522,0.12081304220972751,0.12722215265682965,0.12132945301940287,0.11649959550081522,0.1194461594290792,0.12582229257194816,0.13181092506286002,0.14416574926994005,0.14711025551490534,0.15023542401576748,0.15338193261487507,0.15627374109014458,0.15871739163678344,0.1606118073961181,0.16203282460295418,0.1614152161121317,0.16073632155302683,0.16016956991809086,0.1594413884590928,0.15902190004105557,0.15871137020490617,0.158454304689275,0.0
AUS,tCO2eq per capita,Oil and gas fugitive GHG emissions from energy systems per capita,0.5525348426906376,0.5802347882434622,0.5706015974849956,0.587486629874908,0.5583558962195464,0.5694164420097388,0.6403574403364097,0.6393259437273857,0.6369030468708247,0.6251327591672831,0.610529675768809,0.6127230721681348,0.5814257004590003,0.5470002402565417,0.502025380327315,0.476402905789711,0.46178939389986423,0.44943745093049603,0.43679083466671675,0.44088375392431206,0.43335998030115624,0.45323739177719774,0.4786000726242128,0.49463734096260015,0.5460650994394797,0.5210843632609093,0.508139414532907,0.5058461742323548,0.533328506924475,0.6272980446661433,0.07666364043934155
AUT,tCO2eq per capita,Oil and gas fugitive GHG emissions from energy systems per capita,0.1226001400913016,0.12887597411749566,0.1337312633334562,0.13843235449963334,0.14501327828038846,0.15119737042413461,0.15711529665032756,0.15998682649850823,0.1692685851412141,0.1815504207537132,0.1868235800591295,0.1916478036798709,0.20052262873954907,0.20870527357090005,0.21287656581047937,0.2141533860268608,0.22135321644753955,0.2262449202801475,0.23055684530762255,0.23846023820484957,0.24225402898150078,0.2420577491201663,0.24987278859491074,0.25131204578208766,0.2588351148723502,0.26055101051187823,0.24797036742153877,0.24742016439547024,0.24766119383687907,0.2478613093361202,0.01077877079542763
AZE,tCO2eq per capita,Oil and gas fugitive GHG emissions from energy systems per capita,0.7293796048890623,0.6484742784646486,0.6184827900109048,0.545306040721567,0.5080036710085499,0.49386874642966355,0.46450762875177115,0.4431852162153542,0.4509547764438266,0.5628146396918355,0.5558013314116741,0.5548152405316106,0.5012964600860259,0.5091352649348441,0.4997890499006801,0.6160852491405351,0.6889514298342281,1.1650050506333538,1.4936745532555855,1.2304007513822972,1.2190448560976115,1.1762578891151305,1.219053867860957,1.2501304540682128,1.2360893580430743,1.1917776726928813,1.1558593360888691,1.0966116634681455,1.0928247994848168,1.2654322239306293,0.03143853908023098
BEL,tCO2eq per capita,Oil and gas fugitive GHG emissions from energy systems per capita,0.37365235805721847,0.3916389821526064,0.40657040825042273,0.42393591366927874,0.44676813492977135,0.4546707130082627,0.4325702463325212,0.4402163187311571,0.4475878097909949,0.4601614052778397,0.47297978968418486,0.48644055404279557,0.5079999510296594,0.6009922338119605,0.6721743841386981,0.6723831982789332,0.6751637963480702,0.6773862298013307,0.6776244565695916,0.6788021174097922,0.7277637256041116,0.7608753880139123,0.6807121650695259,0.6845763121642575,0.688809969563006,0.6907872466471223,0.6793212450299707,0.6793181132077463,0.6793993431727897,0.6826930205292375,2.5267750387400954e-06
