country,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFG,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,1.0990622078156922,1.0317898794214548,0.8896961212479227,0.8227225360581583,0.7683931961857204,0.7538421188518675,0.7904245879585713,0.8246743619952672,0.8539311046877129,0.8881293009066005,0.7645179613768209,0.6663123092608171,0.7400048251064322,0.7406930217199359,0.7140384288478735,0.6993526440650786,0.689497370242217,0.7167216008897535,0.8173771334671198,0.8869398439954124,0.9971871703774521,1.1432069973461532,1.026079449584354,0.9323634868156684,0.8971744566121033,0.8619626082794062,0.7968462536380436,0.8434422648288684,0.8248206294116295,0.9012737387601394,0.30691941438757947
AGO,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,2.8915026172728004,2.7938486961764166,2.61870427675058,2.825672301100784,3.568525358212491,3.9854033121558983,4.619793388220812,4.693562546166739,4.869190039863277,4.789210825121853,4.351499824345336,4.073976001159227,3.88655547329643,3.7797162380676803,3.940124228346651,3.7645222665605402,3.3018913188111805,3.1492746862656276,3.2523564084210292,3.2196752352811715,3.4449545779109974,3.2634997474106813,3.190920098011285,3.3072466044035727,3.3358118174587097,3.4133167095492167,3.2193477494436853,2.92150930588321,2.779640196605384,2.70639534230299,0.6850063195796979
ALB,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,3.649272265214131,2.8715614681999764,1.9575146433458297,2.021139508406906,2.2719613656641733,2.132451789721324,2.0495009919760934,1.8191575185636224,1.9170921033200896,2.3247953157723065,2.428706880473042,2.5071718699949317,2.720758423083175,2.756289606736838,2.838397582516199,2.7169727609610796,2.7410969835728562,2.7256644470745455,2.6438977218592927,2.6598339489852667,2.7812035597018694,2.928951356574619,2.819988676654711,2.914093694099186,3.086685290244312,3.0425808952575117,2.972528058845291,3.185575937398054,3.1954875511869334,3.2713802151047355,1.798229112748423
ARE,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,53.453423630028425,55.40249620245716,52.25699469208458,53.625031194656586,54.12309961888262,54.43757991436696,54.57399101341519,53.45441538454701,52.03096251722322,51.216627103212055,50.04397019048874,52.75806543931337,51.6223613415284,51.70100590859729,50.911334991330506,48.13678724959513,43.67357016085681,39.254310594908105,39.63981527277329,34.511872401808354,33.09371189678321,32.578162155293555,33.3869781473955,34.44653484829775,35.027894422841776,36.99487599233041,37.603607246000955,37.900666851047376,36.77043558051244,36.100583119200614,20.538748635040037
ARG,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,9.007290343702717,9.043530538059278,8.996957892197633,8.817855915873437,9.054129799060938,9.127653991033924,9.26966668715927,9.344766775198488,9.407995543400713,9.726037143880841,9.58807413818785,9.251857691606883,9.077727275009543,9.781530544381246,10.39993162629764,10.476532144770086,10.854589985239453,10.910754161936522,11.102310694725537,10.3859347440564,10.375707550185833,10.53272138039368,10.676211300132692,10.535520865747845,10.67023443033314,10.767343670810183,10.762617032905068,10.481367030654303,10.203492200809437,9.720078857486747,3.889866714276203
ARM,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,8.549381060607212,9.265409328139313,5.433035627082449,2.544967756228088,1.904421117689873,2.315633881203127,2.110603963245211,2.4624187968249145,2.478409847199995,2.2845451095593425,2.5126422993519997,2.542422699345655,2.2149451632817794,2.374327554798011,2.5053771107839298,2.84632924001178,2.8654112423549867,3.183170739977801,3.377025470470471,2.8179739001375994,2.7438490888634335,3.0790388974234983,3.552733742333073,3.4568054565489352,3.390385433028121,3.2815135635011976,3.291672865275138,3.3892345168001508,3.5076341810690708,3.3449866852552024,1.9636615305777403
ATG,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,7.9068531477810104,8.167661239391364,8.172876927626476,7.439048699734404,7.67467652145742,7.8403779741025454,7.736830289861706,7.446642933378193,7.1320015799974055,7.160403687186369,6.780009451992578,6.664859517571751,6.624038363549579,7.223183215681431,7.450407645851121,7.2210831509679965,7.054874116801606,7.082024147349426,7.061898043039089,7.814655294095547,7.454691053422867,7.963352899302632,8.559365234721868,8.996560370914818,8.820411231564952,8.685383177062125,8.472513802160549,6.752658125899922,6.521352494834808,6.337294752771385,4.669264852136263
AUS,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,34.416758436047836,34.25813121204004,34.080687514646975,33.95635206736237,33.9892389735147,34.35742839411726,35.10922509701307,35.60866883632307,37.49093317478611,37.59038671298098,37.834783688124524,38.20229849208488,39.063272514461616,37.26255661697779,38.300296364580326,38.36957702237511,38.15926628569642,38.6371086486659,37.789763081218446,37.97306895801739,36.66863644929567,35.99925054501329,35.35133584780542,33.877244856201294,32.527134008375725,32.78386113389048,32.3375830877912,31.899444629075198,30.87520825154603,30.52479888387982,15.040483849679374
AUT,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,12.617088595172474,13.143106588421551,11.905767655389964,11.793392060824857,11.922522934058565,12.452948727364719,13.111038746605518,13.028727068503413,12.878153702685628,12.559879722186936,12.455442351516421,13.234866395540921,13.35308827921517,14.281335713594773,14.224690703302485,14.253924158888813,13.765459775220135,13.21313204799019,13.01006639671725,11.977968612342108,13.024184637306293,12.752872648553447,12.104242161308594,12.064595805942648,11.340812770392784,11.449481835523832,11.29514146485525,11.670542207170142,11.169577187203897,11.327873974607767,7.14277364847888
AZE,tCO2eq per capita,Total GHG emissions (excluding LULUCF) per capita,12.469646343621084,12.023936848116568,10.591976294125615,9.578588316580829,8.12855985802634,7.757534922634795,6.849416092647171,6.656823897017829,6.798406620163022,6.842563896224984,7.09793097515717,6.759636316524065,6.539601836695036,7.047034073872068,6.887692433264311,7.269492516671533,7.40453513764902,7.344847348729213,7.763382795119473,6.640597401656576,6.355718826303254,6.714637322780936,7.233170243372695,7.282181638104066,7.451932067660898,7.374314983928955,7.299359679613626,7.140333174263775,7.119370161288424,7.427991068863479,3.3581956133291184
