category,country,scenario,source,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
M.0.EL,BGD,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,13800.0,14400.0,15200.0,15900.0,17300.0,21500.0,22700.0,24600.0,25300.0,27800.0,29500.0,34400.0,35500.0,37400.0,40100.0,42200.0,46100.0,47300.0,49900.0,53100.0,57500.0,60000.0,64300.0,65100.0,69700.0,76700.0,79700.0,83500.0,89600.0,100000.0
M.0.EL,BGR,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,76700.0,61500.0,57400.0,58400.0,56400.0,58000.0,58500.0,55900.0,53200.0,46400.0,45500.0,49000.0,46200.0,50500.0,49600.0,50700.0,51900.0,55700.0,54100.0,45800.0,47900.0,53200.0,48300.0,42700.0,45200.0,48300.0,45500.0,47600.0,43600.0,42200.0
M.0.EL,BHR,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,13700.0,13100.0,12200.0,16300.0,16400.0,16500.0,17200.0,19100.0,20100.0,19900.0,20700.0,16100.0,17900.0,18700.0,20000.0,22500.0,22400.0,29600.0,32700.0,31000.0,31900.0,31600.0,30300.0,34300.0,34200.0,35700.0,34700.0,36100.0,29100.0,29900.0
M.0.EL,BHS,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,1860.0,1860.0,1860.0,1770.0,1760.0,1750.0,1740.0,1540.0,1930.0,1970.0,1960.0,1880.0,1940.0,1980.0,1990.0,1840.0,1790.0,1810.0,2380.0,1620.0,2400.0,1820.0,1920.0,2900.0,2380.0,2050.0,1810.0,1990.0,2050.0,2120.0
M.0.EL,BIH,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,26600.0,23800.0,7270.0,2750.0,3050.0,2600.0,4560.0,7090.0,11200.0,11800.0,13400.0,13900.0,14800.0,14700.0,15900.0,16500.0,17500.0,17500.0,19800.0,19700.0,20500.0,22300.0,20600.0,20200.0,18200.0,17400.0,19900.0,20200.0,20100.0,21700.0
M.0.EL,BLR,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,104000.0,97100.0,89200.0,76800.0,62800.0,57700.0,58600.0,59200.0,57600.0,55100.0,54900.0,54900.0,54700.0,56300.0,60000.0,61300.0,64100.0,63500.0,65600.0,61200.0,63000.0,61800.0,62900.0,63400.0,62700.0,58200.0,60000.0,60300.0,61100.0,61200.0
M.0.EL,BLZ,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,315.0,412.0,360.0,382.0,378.0,382.0,312.0,394.0,373.0,352.0,399.0,451.0,436.0,440.0,400.0,430.0,452.0,484.0,443.0,523.0,539.0,564.0,454.0,480.0,469.0,645.0,612.0,619.0,622.0,696.0
M.0.EL,BOL,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,5450.0,5780.0,6450.0,7030.0,8220.0,8820.0,8950.0,9190.0,9020.0,7980.0,7880.0,7090.0,9110.0,9790.0,9820.0,10900.0,13600.0,11200.0,11900.0,12400.0,13500.0,14700.0,16600.0,16900.0,18100.0,17900.0,19100.0,20100.0,19800.0,19800.0
M.0.EL,BRA,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,225000.0,238000.0,239000.0,250000.0,261000.0,279000.0,300000.0,319000.0,329000.0,340000.0,358000.0,362000.0,361000.0,362000.0,376000.0,383000.0,386000.0,406000.0,426000.0,404000.0,452000.0,471000.0,504000.0,539000.0,565000.0,537000.0,499000.0,505000.0,491000.0,495000.0
M.0.EL,BRB,HISTCR,PRIMAP-hist_v2.3.1,Gg CO2 / yr,CO2-total-excl-LU,1570.0,1970.0,1880.0,2610.0,1920.0,2110.0,2120.0,2220.0,2720.0,2880.0,2850.0,2930.0,2960.0,3070.0,3130.0,3250.0,3310.0,3380.0,4000.0,3990.0,3650.0,3790.0,3660.0,3600.0,3150.0,3160.0,3220.0,2930.0,3020.0,3120.0
