category,country,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Oil and gas fugitive emissions,AFG,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,0.1838434004,0.1838119004,0.1587065369,0.1539146339,0.1605737519,0.1411048019,0.1459794629,0.1439757629,0.1485888629,0.1494261629,0.1532550629,0.12751912129999998,0.09765213269999999,0.0933776289,0.09819187919999998,0.1140796992,0.1006342719,0.1135077981,0.114076023,0.1092502035,0.148659042,0.169303245,0.16202920199999998,0.149742285,0.157090002,0.171901575,0.23840892199999997,0.18559788,0.190311435,0.1981576498,0.0
Oil and gas fugitive emissions,AGO,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,19.6211598,19.20252967,17.94632789,21.42735272,32.470622809999995,39.94410376,49.91567636,52.232086499999994,57.07906215,56.843684169999996,51.72687843999999,48.594288729999995,46.98055417,45.41526526,46.426878939999995,46.20171190999999,40.762382159999994,38.034070310000004,39.49676932,37.94630221,44.03857985,41.21950998,40.53235253,40.605784009999994,40.25952925,43.747580729999996,43.01023694,40.54130827,38.5901297,38.98607324,4.744590871
Oil and gas fugitive emissions,ALB,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,0.8716859695,1.1197724809999998,0.46677237329999993,0.47862365049999994,0.41404299969999997,0.2137094772,0.2091002682,0.1979187099,0.1976558466,0.1946858679,0.1923228084,0.1889100053,0.19660854199999997,0.2007036705,0.21309269109999998,0.21182781950000001,0.2175806782,0.22448028219999996,0.22142088889999997,0.22202413819999997,0.23375916209999997,0.19160639399999999,0.20497629769999998,0.22738885999999997,0.26547805690000004,0.27965270579999996,0.2876219806,0.24172366039999998,0.224838366,0.1979895455,0.0054924193839999995
Oil and gas fugitive emissions,ARE,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,27.36447716,28.90030242,30.174664559999997,33.85609959,33.35042941,34.93915924,37.189804200000005,35.20182475,33.285812449999995,32.93355948,34.642100969999994,34.834119799999996,32.860777809999995,34.82493935,34.12931636,35.54515609,36.97402014,36.4624185,35.94032875999999,34.67408947999999,36.23826104,38.665234049999995,40.14486477,41.6320642,41.14793700999999,44.571583249999996,45.37782616,45.14258828,46.48901117,46.630800810000004,2.263984516
Oil and gas fugitive emissions,ARG,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,16.50767014,16.689035699999998,17.41467286,17.998703420000002,19.10785487,23.31572121,22.142864309999997,23.08999329,22.52837887,25.026285769999998,25.34440739,25.759964670000002,25.702240449999998,26.98323428,27.54280046,27.03060952,27.034669089999998,26.3347105,26.34492998,26.05826681,25.26718455,25.14589419,25.534459329999997,24.76204665,24.938893859999997,25.22093326,26.03633753,25.758463879999997,26.22475043,27.84941603,2.213864992
Oil and gas fugitive emissions,ARM,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,0.31309835399999997,0.3106175664,0.3082557246,0.3056314554,0.344733552,0.3194995103,0.358199379,0.3778165133,0.375570417,0.39299177399999996,0.372432525,0.35540368499999997,0.362396781,0.379723878,0.39552702,0.42979586999999997,0.43519641600000003,0.44058265799999996,0.44597560799999997,0.451333254,0.45667977299999996,0.462005646,0.46734139199999997,0.4677156003,0.46812894509999997,0.4685855268,0.4681433544,0.46828594199999996,0.46847485859999993,0.46866473369999995,0.0
Oil and gas fugitive emissions,AUS,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,9.429062344,10.02877808,9.982674948,10.379126289999999,9.969444527,10.29049394,11.72558509,11.8383985,11.91709291,11.831262599999999,11.69347488,11.894793,11.42582901,10.88278858,10.10446564,9.716141982999998,9.558070696,9.360703453,9.281455803999998,9.563518125,9.547678745999999,10.12533421,10.880238,11.44003623,12.81925281,12.41014259,12.29235332,12.444756759999999,13.323979689999998,15.911882239999999,1.9697393829999998
Oil and gas fugitive emissions,AUT,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,0.9413054855999999,0.9994191318,1.04854792,1.0943953899999999,1.1508424879999999,1.201758733,1.250483317,1.2747815930000002,1.350219788,1.4510097849999999,1.496749442,1.54128779,1.620615263,1.6949838089999998,1.7396200579999999,1.76201744,1.830290281,1.8768117949999998,1.918577866,1.98955079,2.026068315,2.031262216,2.106425359,2.131081666,2.212097037,2.251863958,2.1664347740000003,2.1766952259999996,2.1894539849999997,2.2009885980000004,0.09611283327
Oil and gas fugitive emissions,AZE,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,5.233444541,4.715251020999999,4.56567088,4.086959714,3.859075287,3.7953072359999998,3.6059727219999997,3.473796521,3.568405146,4.492808565,4.473422596,4.5002173789999995,4.096569606999999,4.1922706849999996,4.151497742999999,5.170094998,5.845442854,9.997257841,13.089667579999999,11.00869451,11.037636849999998,10.78991007,11.332061439999999,11.77222971,11.786209679999999,11.49986916,11.2786581,10.80604752,10.862428249999999,12.68505073,0.317312979
Oil and gas fugitive emissions,BEL,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,3.724334667,3.918146714,4.084063989,4.275171123,4.519329086,4.608911085,4.393458968999999,4.4819501939999995,4.566742003999999,4.705803338,4.848634069,5.003804809999999,5.249054274,6.2359753499999995,7.004821345,7.045646012,7.121599366999999,7.197702861999999,7.257339633999999,7.328682309,7.929412259999999,8.398743404,7.560623729,7.63946569,7.720910211,7.788070813,7.697675701,7.7273508699999995,7.763532981999999,7.843446458999999,2.9169699999999996e-05
