country,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AGO,%,Share of renewable power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,%,Share of renewable power,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
ARG,%,Share of renewable power,34.9891857318633,29.710293540326514,34.389725882627644,38.572447578123366,41.732447033987896,39.635244012089224,32.54642084655608,38.80355692263871,36.0187615482018,26.86688806892486,32.58791679436215,41.040038140264286,43.010125147242604,37.757336976771114,31.320740279994308,33.29021104516057,34.500107638126174,28.498296785037347,26.617205962411383,29.30204972777217,27.642779443455584,25.20345385568392,22.80832198656766,24.990042757237212,24.92580643567609,23.69857639035205,21.36872590434878,23.08176183905922,24.11149394362078,25.048440741447415,25.365252395132735,24.15928572228659
AUS,%,Share of renewable power,9.970222320731624,10.36850285034201,10.299596345736228,10.323704140401796,9.91486548040613,9.407731224800186,9.408694976322261,8.989149616757375,8.488752751026466,8.457536146776576,8.08782496806239,7.697554123653876,8.033125543635835,8.262625225489971,8.450440314104034,8.979734943575993,8.881514192031252,8.34336685516529,7.787761303398242,8.06590025808122,8.826126966784173,11.947717807144363,12.075899304109441,14.235698306360197,13.228230705353337,14.0926583859176,16.163205004332486,15.133101704440174,18.845338869149487,20.781139418621134,24.235710818794928,28.9135364754738
AUT,%,Share of renewable power,66.23556678026615,63.71966173709569,70.95751336636245,72.59107390208325,69.30021795144175,68.9870880577229,64.95788331689833,66.06621930173078,67.7123065080973,69.49180461884427,70.93012871406708,67.6864292239746,67.10121288319058,58.716586975981954,62.02748863222318,61.178959509876094,63.20133408090507,66.70271265586233,66.76467630277364,68.31048166661404,63.272377359889745,62.1359327836277,70.59590803886964,73.79852337527306,76.46857362561221,72.6528902169768,74.58087499943302,71.59914501181403,72.96449802755896,73.6134165283658,76.39032288611396,76.0008523888769
AZE,%,Share of renewable power,7.1613683483068415,7.502505383910105,8.841447987612968,12.734239672458141,10.414888168004097,9.129312367988735,8.996195493122622,10.168686148728915,10.841900527924423,8.285651408450704,8.203208556149733,6.858558701038536,10.801561413828138,11.603871088978671,12.670161883738043,13.157572577824414,10.259544472965814,10.820707648647412,10.313279733850846,12.24495203773385,18.422726422405734,13.185307828006584,7.921489814295223,6.669949473323629,5.628910088685968,7.038351237058281,8.434490580253197,7.77458893379768,7.812613955258193,6.951087144122823,5.081059324821685,5.4515989086046
BEL,%,Share of renewable power,0.7825388096950212,0.7451067615658362,0.8542748355832469,0.7157579693367592,0.8312667119245208,0.8977529297924955,0.7371975978659376,0.745880532264407,0.9124460526790329,1.0057505265399815,1.2426796171975432,1.3467633830696182,1.3866380728411458,1.4084839891291505,1.7479537148395081,2.4199942545245614,3.447913381688216,3.9247033392627952,5.201931002001648,5.9615279223982025,6.822635807833617,9.28285383216446,12.611798018677378,14.049967843425629,16.847404311512946,20.744187914764687,16.65508279064334,18.250144603267515,22.902762377926567,20.800236651509294,26.189799639776705,22.733336302274413
BGD,%,Share of renewable power,11.433005690636316,10.133010882708586,8.949853834045424,6.604388442320226,8.65699100572363,3.4425319267073853,6.440648422520481,6.063417102378141,6.714795839155411,5.764705882352941,4.749223257878384,5.709521619135235,4.013372550910523,3.80410796990803,3.0419406195690484,2.844569458306869,2.5594149908592323,2.449090135286759,2.8277169420582364,1.2045731854806199,1.910806191756404,2.1223668291138527,1.8022276108667954,1.5962483632275295,1.296425903486848,1.7862210432556627,1.5896391060683406,1.7589298776996622,1.4163520123514854,1.2923123195273944,1.2334411102941059,1.164562494487142
BGR,%,Share of renewable power,4.456467573147291,5.973765356566002,5.793316484133671,5.110929810248177,3.849684000734272,5.537342362822752,6.833505009832382,6.434128448940495,7.424899906499485,7.197761974482327,6.531619587528101,3.9506004366812224,5.14070151596804,7.110328638497652,7.613944883592418,9.786994252225853,9.28822284754488,6.746425849366008,6.576814619090969,8.65375663346057,12.406490472209718,7.746520463806918,11.255255762851528,15.820192307692308,15.56026534695167,17.80731494271553,15.695858824568768,13.451682112705818,20.02754618608514,17.087726727202735,18.41670054076539,19.250160008807246
BHR,%,Share of renewable power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,%,Share of renewable power,0.05059960532307848,0.046469601135923584,0.0452187790929645,0.05693907518954718,0.06051533586011403,0.0802632635042941,0.06743088334457181,0.08059254710826266,0.11918951132300357,0.071654849901946,0.1034443124784491,0.1196983601324662,0.10961596613244633,0.10515642017501034,0.10896831565794113,0.11950518394108717,0.11945553424915913,0.1570894467309686,0.20825012837336682,0.3486268705804966,0.3725995987388937,0.43784740552122475,0.5617977528089888,0.7251944753135418,0.6074214814175086,0.7390745501285347,0.9978553556535206,2.0218990788482705,1.6697921750969762,1.9925341771526044,2.6444358278402484,2.6233524072880923
BOL,%,Share of renewable power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
