sector_title,subsector_title,source,ISO,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFOLU,"Biomass burning (CH4, N2O)",direct,AZE,16733.18578,16402.93496,15044.63537,18755.75285,15751.10663,12985.22591,17839.31441,16746.06716,20251.44437,16128.81086,16877.49153,14592.83768,15288.96909,14680.5991,13267.08594,14382.8735,16157.7653,15238.76137,14877.57758,15942.45105,17881.75825,13773.13671,16378.65245,14978.46578,13455.82473,12023.88154,13379.81894,14663.84209,12948.66915,13920.90981,18958.12995,24168.45817,26680.81726,24723.21078,25819.19804,25389.68501,24783.0989,23374.54445,28948.2255,35255.60398,24240.39016,28712.07707,32109.76866,33522.80141,27310.90335,32201.73232,33786.78279,32843.827,36710.60307,37405.58594,
AFOLU,"Biomass burning (CH4, N2O)",direct,BDI,9557.238635,9726.411974,8956.38836,9968.551549,8526.895297,10118.31293,10231.99364,10437.58588,10303.67698,10731.12935,11266.0991,11753.91265,11630.0102,11659.24253,10819.18298,12596.12343,13138.55672,13724.31366,14150.8098,12978.67801,13485.78799,14252.1387,14602.28129,14541.11704,11527.5186,13366.5586,13343.18511,14053.70593,13095.82405,12710.64527,12153.10494,13617.48921,14064.97725,13671.5869,13562.28631,14031.20801,13357.04098,13576.49833,13823.78376,15017.48411,14982.92683,15590.39046,16677.61387,16988.53543,16255.37348,17095.64586,21984.57172,21426.44708,22749.20655,24621.39691,
AFOLU,"Biomass burning (CH4, N2O)",direct,BEL,10427.09833,12760.46145,12438.26402,13520.57275,12992.72551,10519.03641,11714.41228,11093.14939,13182.3889,13549.94519,12593.06736,13542.4804,14909.19578,12676.9804,15307.22482,14164.46887,14919.51195,13224.25946,14869.81088,15512.2392,14528.88991,14558.18349,14483.36964,15418.68078,14502.33053,8707.342385,10063.13856,9607.896004,9814.008402,9774.514215,10177.97583,9351.02117,10552.23069,10295.3725,11431.1121,10810.89549,10334.26289,10354.39172,11196.78538,11742.0617,10995.19828,10959.46028,11097.75993,11125.37671,11529.81726,11420.85971,8706.853684,10779.04863,9822.770401,9696.916983,
AFOLU,"Biomass burning (CH4, N2O)",direct,BEN,18792.41443,16472.66501,17457.89499,17648.44778,16890.16837,16068.40097,15770.06696,17454.63472,22898.46738,21813.26784,19159.09743,20776.25029,20429.70539,20923.48343,24098.15548,25364.13568,24182.92768,21023.32419,26974.37263,27337.96953,26811.11384,28356.15235,29144.50523,30049.21142,30811.46533,33315.11711,34322.04378,39750.08219,40522.93202,43886.2145,45934.71752,45074.24559,50963.01241,48375.28008,50971.22895,52561.56747,49017.87869,52559.4342,60614.15367,66471.96957,65615.54985,66718.96829,71400.70743,81205.52161,79206.88351,79307.07289,84630.29233,88752.73271,102457.1976,103137.8287,
AFOLU,"Biomass burning (CH4, N2O)",direct,BFA,30332.77082,28077.98483,27758.50224,27011.33016,32522.93635,35239.11643,30379.95444,31705.78363,33764.7193,34306.37978,31050.88645,36067.13299,34017.76009,32271.91923,30540.34359,39863.51684,46546.09477,41313.70349,51637.14561,49656.19247,42974.14927,55280.88169,56915.025,53033.97247,52415.80589,53013.21323,58006.57866,53419.54598,63724.34782,63693.27518,51364.91791,75651.29175,74179.00329,85846.724,67397.33084,85956.1829,85341.93127,71294.86007,108210.5043,95107.7774,122095.9339,102540.9275,128899.4671,128995.1503,117929.5349,117252.1742,127609.3585,123830.5048,136218.4756,140134.502,
AFOLU,"Biomass burning (CH4, N2O)",direct,BGD,338051.4727,313366.1847,320329.9366,344387.6772,338508.2042,366331.3331,348444.6463,365923.8778,369324.8998,368975.8777,388757.9054,393057.1427,399863.002,388441.0597,400605.4312,412105.9366,413488.5163,408319.1648,407929.9509,435828.478,434338.9196,435574.7331,435471.4661,428403.3958,415000.9572,426651.9161,445482.2347,447955.1037,460260.2798,506452.95,528478.3887,513812.1576,524221.3768,527658.1971,499999.2493,528492.3302,533592.7568,552746.1116,595698.9187,602071.7213,621191.0031,627710.7661,626859.6637,638979.9769,648853.913,649692.8285,633853.6992,676474.4165,696916.434,694484.2233,
AFOLU,"Biomass burning (CH4, N2O)",direct,BGR,73560.28012,75726.80668,85386.49589,77676.84513,71883.63974,80188.51407,88866.92361,81446.80447,81116.89467,86745.94695,82988.45004,91155.86416,104292.192,83108.07417,97808.55426,62079.74159,90018.94449,80086.69144,86856.15934,102121.4271,91071.40123,94142.01474,72108.72374,66445.76606,72092.07894,70872.02365,40477.32917,68473.08692,61165.25101,56432.11722,51313.16306,69957.30003,74956.71352,42704.56562,77182.15234,63448.24738,59726.9642,44324.24693,76634.20329,68823.70409,75135.78427,79438.60357,76399.76748,96236.40891,97578.76082,90075.79605,94103.6324,101901.5162,103674.7721,101839.3895,
AFOLU,"Biomass burning (CH4, N2O)",direct,BHR,0.0237258,0.0237258,0.0237258,0.0237258,0.0237258,0.0237258,0.049887427,0.102558647,0.145834808,0.244927403,0.311147692,0.311147692,0.303144503,0.258824636,0.28220244,0.172480057,0.253621989,0.257450072,0.300445887,0.372736028,0.356732991,0.397994089,0.450385408,0.50034024,0.527962238,0.472042793,0.455344623,0.435446631,0.478598891,0.373939601,0.414779517,0.344577424,0.331096588,0.317304,0.324069587,0.278009995,0.299299968,0.302779752,0.326157586,0.38369558,0.388219215,0.339949123,0.385227656,0.383835647,0.411389197,0.369085472,0.308468625,0.279107342,0.308816647,0.298300414,
AFOLU,"Biomass burning (CH4, N2O)",direct,BHS,268.6158744,35.97042285,372.3267183,345.1123332,373.5633613,448.5886365,579.554425,477.3548856,376.3165964,394.7326224,366.8468984,506.7947829,535.163509,329.6528137,489.1811634,349.5210789,302.8830439,301.1180248,411.4982225,532.8232768,579.9515497,438.8004204,339.9842336,477.8023643,522.2778799,335.5195574,428.7125581,337.8899859,431.2890484,475.9963285,593.9729132,709.0909211,523.8248236,477.9205464,478.3928207,479.2678634,550.2050588,550.6765351,553.0601856,555.2111135,556.910012,557.5509583,558.0755062,558.5596954,561.1156986,560.5278212,555.677004,557.4353512,559.0393445,558.2480332,
AFOLU,"Biomass burning (CH4, N2O)",direct,BIH,12188.79258,14553.83885,13901.05729,14133.58749,15857.02166,14492.79244,15944.99889,15937.45384,14052.10891,14744.51621,14929.6838,14383.77793,16205.71583,16286.19469,16723.78583,14956.14135,16552.42213,14672.60151,14996.01153,15612.89539,14598.14491,17903.48376,11054.88095,10031.4145,8889.267473,7213.942522,8126.846931,11947.12532,13008.06758,12840.14429,10102.37518,11119.21781,12309.28337,8183.414298,13363.65737,12443.69407,12300.3016,10031.44199,12467.96643,12217.08489,9786.579102,10165.16266,8825.013333,11093.85945,9630.657729,10308.0785,14309.08318,10863.79958,14836.11406,14902.9898,
